"","countries","happiness_score","human_freedom_score","personal_freedom_score","economic_freedom_score","religion","association","assembly","movement","inheritance_rights","disapperances_conflicts_and_terrorism","rule_of_law","homicide","size_of_government"
"1","Afghanistan",2.56690001487732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Albania",4.88269996643066,7.84,8.00541145680106,7.67,9.19259259259259,10,10,10,7.5,10,5.29175164731008,9.08,7.52816691110013
"3","Algeria",5.00509977340698,4.99,5.20148916478469,4.77,4.94481481481481,5,5,5.83333333333333,0,8.86543441377398,3.79608037997857,9.45625359529738,3.57703319068133
"4","Argentina",5.97469997406006,6.86,8.04459987312997,5.67,7.79592592592593,7.5,10,10,10,8.5,5.74479102691142,7.96,5.70949257737605
"5","Armenia",4.67679977416992,7.42,7.14501743438029,7.7,6.22222222222222,7.5,7.5,8.33333333333333,7.5,9.5,4.93260942006086,9.04,7.40145295884047
"6","Australia",7.22279977798462,8.62,9.16053274787732,8.07,9.07592592592593,10,10,10,10,9.95501695129284,7.77627878023178,9.68,6.95986317411118
"7","Austria",7.29419994354248,8.48,9.24568542511029,7.71,7.92518518518519,10,10,10,10,9.98484429291769,8.1717488153756,9.73791214005681,5.6609718277998
"8","Azerbaijan",5.16480016708374,6.22,6.10466078962042,6.34,5.46111111111111,2.5,5,8.33333333333333,10,9.21449929857822,4.29127037641591,9.2,4.83652312336745
"9","Bahrain",6.22730016708374,6.63,5.91089540336499,7.35,7.46148148148148,5,0,4.16666666666667,0,7.53523017800003,5.89803753538167,9.79048142131417,6.96579122394675
"10","Bangladesh",4.83279991149902,5.77,5.36557341990744,6.18,5.93333333333333,5,7.5,6.66666666666667,0,6.95311828703743,3.13289248612622,9.12,8.15067746779743
"11","Belarus",5.5398998260498,6.65,6.65902816339645,6.64,5.15333333333333,2.5,2.5,8.33333333333333,10,9,5.12892494126635,8.56613456552981,6.12471661074075
"12","Belgium",6.86350011825562,8.29,9.06769485133166,7.51,8.13148148148148,10,10,10,10,9.98125760256799,7.75110094521137,9.32,4.86312265914418
"13","Benin",5.21600008010864,6.77,7.46938687734047,6.08,9.41333333333333,10,10,5.83333333333333,5,9.5,4.18030941412379,9.56,7.05556404733199
"14","Bolivia",5.74749994277954,6.61,7.07482557028916,6.14,8.42814814814815,7.5,7.5,8.33333333333333,7.5,9.5,3.05140185086168,7.47992351310712,5.89394817595506
"15","Bosnia and Herzegovina",5.67409992218018,7.37,8.04034814110701,6.69,8.51518518518519,10,7.5,8.33333333333333,7.5,9,5.47008039511587,9.52,5.63146651303497
"16","Botswana",3.47889995574951,7.17,6.97008445279206,7.37,9.00833333333333,NA,NA,7.5,7.5,10,5.64168393170431,3.98471163839183,6.3665626001139
